input,output,label
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" WLGM-LP is a licensed broadcaster to Edgewater, Volusia County, Florida in the United States. """""" >>> Output: """"""","[s] WLGM-LP [r] licensed broadcaster [o] Edgewater,_Volusia_County,_Florida [e] [end] """""" ##","[s] WLGM-LP [r] licensed to broadcast to [o] Edgewater,_Volusia_County,_Florida [e] [s] WLGM-LP [r] country [o] United_States [e]"
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Branko Horjak is a professional football player from Slovenia, who plays as a forward. """""" >>> Output: """"""","[s] Branko_Horjak [r] sport [o] Football [e] [s] Branko_Horjak [r] position [o] Forward_(association_football) [e] [end] """""" ##",[s] Branko_Horjak [r] occupation [o] Football_player [e] [s] Branko_Horjak [r] position played on team / speciality [o] Forward_(association_football) [e] [s] Branko_Horjak [r] country of citizenship [o] Slovenia [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" The Canyon Mountains contain Oak City, Utah and are located in Juab County, Utah. They are an instance of a mountain range. """""" >>> Output: """"""","[s] The_Canyon_Mountains [r] location [o] Juab_County,_Utah [e] [s] The_Canyon_Mountains [r] location [o] Oak_City,_Utah [e] [s] The_Canyon_Mountains [r] instance of [o] mountain range [e] [end] """""" ##","[s] Canyon_Mountains [r] contains [o] Oak_City,_Utah [e] [s] Canyon_Mountains [r] located in the administrative territorial entity [o] Juab_County,_Utah [e] [s] Canyon_Mountains [r] instance of [o] Mountain_range [e]"
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Minae Mizumura was educated at Yale College and is currently employed at the University of Michigan. She is a Human and Jonathan Edwards College is part of Yale College. """""" >>> Output: """"""",[s] Minae_Mizumura [r] education [o] Yale_College [e] [s] Minae_Mizumura [r] employer [o] University_of_Michigan [e] [s] Minae_Mizumura [r] employer [o] University_of_Michigan [e] [s] Yale_College [r] part of [o] Yale_College [e] [s] Yale_College [r] part of [o] Yale_College [e] [,[s] Minae_Mizumura [r] educated at [o] Yale_College [e] [s] Minae_Mizumura [r] employer [o] University_of_Michigan [e] [s] Minae_Mizumura [r] instance of [o] Human [e] [s] Yale_College [r] has part [o] Jonathan_Edwards_College [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" The Redlich–Kwong equation of state is named after Otto Redlich and Joseph Neng Shun Kwong. Otto Redlich was a Human. """""" >>> Output: """"""","[s] Redlich–Kwong_equation_of_state [r] named after [o] Otto_Redlich [e] [s] Otto_Redlich [r] Human [o] Human [e] [end] """""" ##",[s] Redlich–Kwong_equation_of_state [r] named after [o] Otto_Redlich [e] [s] Redlich–Kwong_equation_of_state [r] named after [o] Joseph_Neng_Shun_Kwong [e] [s] Otto_Redlich [r] instance of [o] Human [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Périgny, Val-de-Marne is located in the administrative territorial entity of Val-de-Marne, which is a Department of France with a twinned administrative body in Tulkarm. It is different from Périgny, Charente-Maritime, which is associated with the Canton of Aytré. """""" >>> Output: """"""","[s] Périgny,_Val-de-Marne [r] location [o] Val-de-Marne [e] [s] Périgny,_Val-de-Marne [r] administrative territorial entity [o] Val-de-Marne [e] [s] Val-de-Marne [r] twinned administrative body [o] Tulkarm [e] [s] Périgny,_Val-de-Marne [r] associated with [o] Périgny,_Charente-Maritime [e] [s] Périgny","[s] Périgny,_Val-de-Marne [r] located in the administrative territorial entity [o] Val-de-Marne [e] [s] Périgny,_Val-de-Marne [r] different from [o] Périgny,_Charente-Maritime [e] [s] Périgny,_Val-de-Marne [r] located in the administrative territorial entity [o] Seine-et-Oise [e] [s] Val-de-Marne [r] legal form [o] Departments_of_France [e] [s] Val-de-Marne [r] twinned administrative body [o] Tulkarm [e] [s] Périgny,_Charente-Maritime [r] associated electoral district [o] Canton_of_Aytré [e]"
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" The 1973 Austrian Grand Prix is a list of Humans. """""" >>> Output: """"""","[s] 1973_Austrian_Grand_Prix [r] list of [o] Humans [e] [end] """""" ##",[s] 1973_Austrian_Grand_Prix [r] is a list of [o] Human [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Sergei Yutkevich was a Human associated with the movement of Socialist realism and a Scenographer by occupation. He passed away in Moscow. """""" >>> Output: """"""","[s] Sergei_Yutkevich [r] Human [o] Socialist_realism [e] [s] Sergei_Yutkevich [r] occupation [o] Scenographer [e] [s] Sergei_Yutkevich [r] death location [o] Moscow [e] [end] """""" ##",[s] Sergei_Yutkevich [r] movement [o] Socialist_realism [e] [s] Sergei_Yutkevich [r] place of death [o] Moscow [e] [s] Sergei_Yutkevich [r] occupation [o] Scenographer [e] [s] Sergei_Yutkevich [r] instance of [o] Human [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" North Holland has partnered with the Rijksdienst voor het Cultureel Erfgoed and the International Institute of Social History holds archives for North Holland. """""" >>> Output: """"""","[s] North_Holland [r] partner [o] Rijksdienst_voor_het_Cultureel_Erfgoed [e] [s] North_Holland [r] archives [o] International_Institute_of_Social_History [e] [end] """""" ##",[s] North_Holland [r] partnership with [o] Rijksdienst_voor_het_Cultureel_Erfgoed [e] [s] North_Holland [r] archives at [o] International_Institute_of_Social_History [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" The 2019 World Mixed Doubles Curling Championship was organized by the World Curling Federation and took place alongside the 2019 World Senior Curling Championships. It was followed by the 2020 World Mixed Doubles Curling Championship. """""" >>> Output: """"""",[s] 2019_World_Mixed_Doubles_Curling_Championship [r] main subject [o] 2019_World_Mixed_Doubles_Curling_Championship [e] [s] 2019_World_Mixed_Doubles_Curling_Championship [r] organizer [o] World_Curling_Federation [e] [s] 2019_World_Mixed_Doubles_Curling_Championship [r] location [,[s] 2019_World_Mixed_Doubles_Curling_Championship [r] together with [o] 2019_World_Senior_Curling_Championships [e] [s] 2019_World_Mixed_Doubles_Curling_Championship [r] organizer [o] World_Curling_Federation [e] [s] 2019_World_Mixed_Doubles_Curling_Championship [r] followed by [o] 2020_World_Mixed_Doubles_Curling_Championship [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Gowmazi Osman is a village in Iran. """""" >>> Output: """"""","[s] Gowmazi_Osman [r] location [o] Iran [e] [end] """""" ##",[s] Gowmazi_Osman [r] instance of [o] Village [e] [s] Gowmazi_Osman [r] country [o] Iran [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Cephidae is a parent taxon of Cephoidea, with a taxon rank of Family (biology) and an instance of Taxon. """""" >>> Output: """"""","[s] Cephidae [r] parent taxon of [o] Cephoidea [e] [s] Cephidae [r] taxon rank [o] Family_(biology) [e] [s] Cephidae [r] instance of [o] Taxon [e] [end] """""" ##",[s] Cephidae [r] parent taxon [o] Cephoidea [e] [s] Cephidae [r] taxon rank [o] Family_(biology) [e] [s] Cephidae [r] instance of [o] Taxon [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" A README is a type of computer file, which is a subclass of software documentation and user guide, and can be in either Text or Markdown file format. It is also an instance of a convention (norm). A Computer file is different from a File folder. """""" >>> Output: """"""",[s] README [r] type of computer file [o] Software_documentation_and_user_guide [e] [s] README [r] file format [o] Text [e] [s] README [r] file format [o] Markdown [e] [s] README [r] subclass of [o] Software_documentation_and_user_guide [e] [s] README [r] convention (norm) [o] Convention_(norm) [e] [s] Computer_file [r] different from [o],[s] README [r] file format [o] Text_file [e] [s] README [r] subclass of [o] Computer_file [e] [s] README [r] file format [o] Markdown [e] [s] README [r] subclass of [o] Software_documentation [e] [s] README [r] subclass of [o] User_guide [e] [s] README [r] instance of [o] Convention_(norm) [e] [s] Computer_file [r] different from [o] File_folder [e]
